thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.13996175419 0.00632410404155 -0.0178557500469 0.00271571677056
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.100707350858 -0.00885767255906 -0.0511585381282 -0.00251535223231
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.110748770586 -0.00586994609614 -0.046706144966 0.00532119220557
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.148560399765 -0.00219257350939 -0.0160891399796 0.00877480051374
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.141746878573 -0.000478193921738 -0.0137883020843 0.00597171352546
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.12730263062 -0.0048827343999 -0.0328968684239 0.00914011614937
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0922509704162 -0.00533597231732 -0.0659649193941 -0.00154345626328
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.111388806671 0.00185885691664 -0.0161785973974 0.00884319906151
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.100431632267 -0.00660793286833 -0.0558188281674 -0.0026789747348
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.133002159382 0.0118415427811 -0.0068430496065 0.0148729674293
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.124352375135 0.00830269969195 -0.0242038754529 0.01499865932
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.120764779581 0.00692797061737 -0.0275949307244 0.0126160530819
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.135594198027 0.00853442191042 -0.000754742778832 0.0153338432209
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.113663447685 0.000285907211323 -0.0447071835083 0.00581291387806
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.125517335737 0.00227885769573 -0.0554598319666 0.0107573305426
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.136559509731 0.00923828331707 -0.0303653909815 0.0178097893226
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.118671005672 0.00377239123876 -0.0735668670057 0.0105452835898
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.128030958218 0.00572850644914 -0.0448352626199 0.017568619755
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.138623306777 0.0108856782169 -0.0312863969511 0.0137986424891
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.110794799863 0.00185942868789 -0.0498542553747 0.0105475546756
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.146615385941 0.0133473713096 -0.00957188145346 0.0170639531051
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.129401497499 0.0105824598524 -0.0335610767301 0.0155969161813
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.146815922602 0.00751779709888 -0.010747338521 0.0137882714863
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.119379180044 -0.00109049672458 -0.0678291879876 0.00238597596498
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.139734631545 0.00643411858368 -0.0104522104954 0.0153880775118
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.137426016437 0.00958836889827 -0.00442085390923 0.0187050799458
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.124516661768 0.00253442061681 -0.0581465639176 0.0113137990116
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.134318877033 0.00695180962586 -0.0525361379347 0.0186973959698
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.0814083424948 -0.00500106912072 -0.0700306289171 0.0143258533391
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.109723439743 0.00206384132839 -0.0692235828913 0.0140260925108
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.10839615962 -0.00138114135155 -0.0698243678736 0.0106972453132
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.112812386263 -0.00685477509589 -0.0630761209401 0.00825164284193
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.114008424589 -0.0221219259906 -0.0804249281338 -0.00165462058252
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.125632284863 -0.0252899572499 -0.0496414367799 -0.00830741944556
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.118541993532 -0.0295816550426 -0.0389912351635 -0.0111272020817
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.134535336307 -0.0219746010102 -0.0475076912951 -0.00388682643025
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.154129107756 -0.0152655849765 -0.0199937387903 -0.0039185318923
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.159311509611 -0.0116922897828 -0.0409136432466 0.00651394003613
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.141022162844 -0.0129066686297 -0.0373482422108 0.00656949574846
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.12846201554 -0.0349783279065 -0.0700641563862 -0.00959889811466
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.113687984385 -0.0439084063313 -0.0913628406095 -0.0247593150827
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.109408245145 -0.0331268372422 -0.102146614944 -0.00601331561671
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.125821191183 -0.034910700524 -0.111285938948 -0.00723164910148
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.154826193473 -0.0142216432812 -0.0772972518957 0.00925789971558
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.129746287154 -0.0118598477853 -0.0794555751248 0.00802070407284
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.167034501472 0.0073857672986 -0.0892912145444 0.0276021992885
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.186868383566 -0.00792788842617 -0.174185891435 0.0209167250981
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.24546934528 -0.0239533381993 -0.24832614671 0.0131508479963
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.28989175543 -0.00964602676536 -0.269825056503 0.0289564545501
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.323684800874 -0.015572133922 -0.312885574983 0.0293204931516
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.321249415049 -0.00748536698468 -0.295783011395 0.0307086952226
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.319105394638 -0.00886124065469 -0.314170527186 0.0371649429018
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.321445206906 -0.00509005005634 -0.311906582735 0.047053687408
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.3084250477 -0.00725689923465 -0.303950489304 0.0511208210374
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.293361807254 -0.00685271049369 -0.299253735845 0.0523158640846
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.312598227619 0.00564503503645 -0.297037212415 0.0659492188657
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.300720260004 -0.00763126734741 -0.31559135367 0.0564915338197
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.295919963277 0.00132820362257 -0.303814146512 0.0699001065263
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.327615188488 0.0193790982505 -0.304845205532 0.0822871802946
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.330138801573 0.0216511778218 -0.318003350377 0.0817778022476
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.335634713857 0.0150101484592 -0.293171254851 0.0802554657959
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.315374680851 -0.0100942106257 -0.31600098675 0.0552715933114
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.316395907797 -0.012342937313 -0.326137697325 0.0575501459357
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.304195744318 -0.0282640151377 -0.309190592783 0.0372763638055
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.207459045653 -0.0161017453896 -0.136038492841 0.0149496311758
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.102103753478 -0.00364807619896 -0.0584049519098 0.0153034039835
thetaLPitch, thetaLRoll, thetaPitch, thetaRRoll: -0.127007981532 0.0610435213206 -0.0819083683568 0.0739577252736
